name,category
Zitronenthymian,Gewürze
Kräuterbutter,Milchprodukte
Orange,Obst
Hummus,Haltbares
Flammkuchenteig,Haltbares
Kapern,Haltbares
Linguine,Haltbares
Portobello-Pilze,Gemüse
Pangasius,Fleisch
Baguette,Brot
Schnitzel,Fleisch
Kürbiskernöl,Haltbares
"Gewürzmischung ""Linsensuppe""",Gewürze
Rosinen,Haltbares
Pflücksalat,Gemüse
"Gewürzmischung ""Kokos Curry""",Gewürze
grüne Paprika,Gemüse
Hefeflocken,Haltbares
Thunfisch,Fleisch
Thai-Basilikum,Gewürze
grüne Kresse,Gemüse
Granatapfel,Obst
"gereifter Gouda, geraspelt",Milchprodukte
Pimientos de Padrón,Gemüse
getrocknete Cranberrys,Haltbares
pikante Paprikasoße,Haltbares
Fettuccine,Haltbares
Stangensellerie,Gemüse
Fenchelknolle,Gemüse
getrocknete Aprikosen,Haltbares
Mandeln,Haltbares
"Gewürzmischung ""Piri Piri""",Gewürze
"Gewürzmischung ""Grünzeug""",Gewürze
Demi-glace,Haltbares
Kohlrabi,Gemüse
Hirtenkäse leicht,Milchprodukte
Haselnüsse,Haltbares
geröstete Cashewkerne,Haltbares
Tahini-Paste,Haltbares
Quinoa Tricolor,Haltbares
Pflaumenkonfitüre,Haltbares
Frischer Butter-Blätterteig,Haltbares
Putenbrust,Fleisch
Kokosflocken,Haltbares
"Gnocchi, vorgekocht",Haltbares
würzige Dalsoße,Haltbares
Kalamata-Oliven ohne Stein,Haltbares
Rote Beete,Gemüse
geräucherter Tofu,Haltbares
Zaatar,Milchprodukte
festk. Kartoffeln,Gemüse
Naan-Brot,Brot
süßer Chili-Grill-Tofu,Haltbares
Ciabattabrötchen,Haltbares
Ketjap Manis,Haltbares
Chinakohl,Gemüse
Pastinake,Gemüse
Bulgogisoße,Haltbares
Madras-Curry-Pulver,Gewürze
"Gewürzmischung ""Piri-Piri""",Gewürze
rote Currypaste,Haltbares
Paprikapulver edelsüß,Gewürze
Rigatoni,Haltbares
Brokkolini,Gemüse
grüne Currypaste,Haltbares
Oatly Cuisine,Verschiedenes
"Gewürzmischung ""Aloha""",Gewürze
Rotweinessig,Haltbares
Eierspätzle,Haltbares
"Cranberries, getrocknet",Haltbares
Chana-Masala-Basis-Soße,Haltbares
Chapati-Brot,Haltbares
Massaman-Curry-Paste,Haltbares
Burgerbrötchen,Brot
Pistazien,Haltbares
Camembert,Milchprodukte
bunte Kirschtomate,Gemüse
Kräuterseitling,Gewürze
Knoblauch & Ingwer,Gemüse
vorgegarte Kartoffelwürfel,Gemüse
geriebener würziger Gouda,Milchprodukte
Maiskolben (vorgekocht),Gemüse
Pizzateig,Haltbares
Edamame,Gemüse
Gnocchi,Haltbares
schwarze Oliven ohne Stein,Haltbares
Feta,Milchprodukte
Ziegenfrischkäse-Crumble mit Honig,Milchprodukte
rote Linsen,Haltbares
Vegan Burger Patty,Brot
Paccheri,Haltbares
Dorade,Fleisch
gelbe Karotte,Gemüse
Ricotta,Milchprodukte
Maiskolben,Gemüse
Rosenkohl,Gemüse
Mozzarella (vegetarisch),Milchprodukte
Korma-Paste,Haltbares
Kabeljaufilet ohne Haut,Fleisch
"Mandeln, gehobelt",Haltbares
Spinat,Gemüse
Coleslaw-Mix,Gemüse
Büffelmozzarella,Milchprodukte
"Rote Beete, vorgegart",Gemüse
Steinofenbaguette,Brot
Austernpilze,Gemüse
"Paprikapulver, geräuchert",Gewürze
Kiwi,Obst
"Rosmarin, getrocknet",Gewürze
Pekanusskerne,Haltbares
orientalische Gewürzmischung,Gewürze
geraspelter Rotkohl,Gemüse
Cannellinibohnen,Haltbares
"geschwärzte Oliven, ohne Stein",Haltbares
Strozzapreti,Haltbares
grüne Oliven,Haltbares
Pfirsich-Ajvar-Dressing,Haltbares
Brokkoliröschen & Karotten,Gemüse
Soja Kochcrème,Haltbares
Knoblauch-Zwiebel-Paste,Haltbares
"Tomaten, Knoblauchzehe ",Gemüse
Filoteig,Haltbares
"Karotte, Brokkoli, Babymais, Buschbohnen Mix",Gemüse
Hähnchenkeule mariniert,Fleisch
Kampot-Pfeffer,Gewürze
Krustenschinken,Fleisch
Feigenrelish,Haltbares
Spitzkohl,Gemüse
Weißweinessig,Haltbares
Ciabatta,Haltbares
weißer Spargel,Gemüse
Kartoffelstärke,Haltbares
Quinoa,Haltbares
grüner Spargel,Gemüse
Nektarine,Obst
"Gewürzmischung ""Baharat""",Gewürze
"Dinkel, vorgekocht",Haltbares
Karotte-Lauch-Mix,Gemüse
Tofu-Hack,Haltbares
Pulled Pork,Fleisch
"Gewürzmischung ""Dukkah""",Gewürze
"Gewürzmischung ""Paprikagewürz""",Gewürze
geriebener Cheddar,Milchprodukte
Ei,Haltbares
Pistazienkerne geröstet ganz,Haltbares
Bärlauch,Gewürze
Borlotti Bohnen,Haltbares
Kirschtomatepolpa,Gemüse
Wildpreiselbeermarmelade,Haltbares
Koriander und Kumin,Gewürze
Ciabatta-Brot,Haltbares
Burgerkäse,Milchprodukte
Pulled in BBQ-Marinade,Fleisch
Hähnchen,Fleisch
Honig-Senf-Dressing,Haltbares
Thüringer Rostbratwurst,Fleisch
Kopfsalat,Gemüse
Pita-Brote,Brot
Salsiccia,Fleisch
Süßkartoffelgnocchi,Haltbares
Sahnemeerrettich,Haltbares
"Haselnusskerne, geröstet, ganz",Haltbares
Schawarma,Fleisch
Wraps (klein),Brot
Banane,Obst
Blumenkohlröschen & Karotten,Gempse
Kokosraspeln,Haltbares
Bohnen-Mix,Haltbares
Harissa,Haltbares
Baby-Kräuterseitlinge,Gemüse
Conchiglie,Haltbares
Sauerteig,Haltbares
Trüffelöl,Haltbares
Ananas in Stücken,Obst
Kartoffelspalten,Gemüse
Tofu mit Basilikum,Haltbares
Tomatenpolpa,Haltbares
Cajun-Gewürzmischung,Gewürze
Schupfnudeln,Haltbares
Burger Patty,Brot
Blauschimmelkäse,Milchprodukte
Tortilla Chips,Haltbares
Spätzle,Milchprodukte
"Muskatnuss, gemahlen",Gewürze
Pflaumenmus,Haltbares
Passionsfrucht,Obst
Estragon,Gewürze
Kürbisgnocchi,Haltbares
Chick-Eria Filets,Fleisch
Tortilla-Chips,Haltbares
Kabeljaufilet,Fleisch
Senfsoße mit Frühlingszwiebeln,Haltbares
Kräuter-Croûtons,Haltbares
Winner Winner Crispy Dinner,Fleisch
Filetstücke Hähnchen-Art,
Tofu Natur,Haltbares
"Kreuzkümmel, gemahlen",
ungesalzene Erdnusskerne,Haltbares
Somen-Nudeln,Haltbares
Rotkohl,Gemüse
Sambal Badjak,Haltbares
Cheddar (Scheiben),
rote Kartoffeln,Gemüse
Prosciutto,Fleisch
Calabrese Pesto,Haltbares
Bergjausenkäse,Milchprodukte
Lasagneplatten,Haltbares
Kichererbsen-Falafel,
Paprika Antipasti,Haltbares
Gelbe Beete,Gemüse
"Maronen, gegart",Haltbares
Gratinkäse,
Kichererbsenmehl,
Lorbeerblatt,
"Oliven, schwarz ohne Stein",Haltbares
Za'atar,Gewürze
Erbsen,
"Mozzarella ""Bocconcino""",
Lachsfilet ,Fleisch
eingelegter grüner Pfeffer,
Baby Grünkohl,Gemüse
Conchiglie (vorgekocht),Haltbares
krause Petersilie,
Chipotle Paste,
grüne Kochbanane,Obst
Sumach,Gewürze
Maxi Ravioli Tomate Mozzarella,Haltbares
Kichererbsen-Tofu mit Salz,
Soja-Kochcrème,Haltbares
"Spitzkohl, geschnitten",Gemüse
Pflaumen,Obst
Cayennepfeffer,Gewürze
Kurkuma,
Baby-Grünkohl,Gemüse
"Brauner Reis, vorgekocht",
Hack,
"Filetstücken Hähnchen-Art, Kräuter-Zitrone",
Austernpilze nach Fajita-Art,Gemüse
Stir Fry Mix,Gemüse
"Gemüsemix Lauch, Champignons, Karotte",Gemüse
Tofu-Aufstrich Zwiebel,
grüne Oliven (ohne Stein),
Wiener Würstchen,Fleisch
Mini-Klöße,Haltbares
Frucht-Balsamico-Dressing,
Tortellini,
geriebener Bergjausenkäse,Milchprodukte
Tortellini mit Ricotta-Füllung,
geriebener Käse,
"Gewürzmischung ""HelloMediterraneo""",
Raclette-Käse,
bunte Gemüsewürfel,Gemüse
Brioche Burger Bun,
brauner Zucker,
Schweinefiletspitzen in Rosmarinmarinade,Fleisch
gelbe Zucchini,
"Gewürzmischung ""Smokey""",
Rindersteak,
Quiche-Teig,
Rote-Beete-Gnocchi,
Zimt,
Piment,
Currypulver,
Sobanudeln,
Shiso-Kresse,
geriebener Gouda,Milchprodukte
Bergkäse,
Ravigote Sauce,
"Schinkenspeck, geräuchert",
Udon-Nudeln,
Knoblauch-Ingwer-Zitronengras Paste,
Grillkäse Kräuter,Milchprodukte
Safranfäden,
Farfalle,Haltbares
"Gewürzmischung ""Südseetraum""",
Gochujang,
Pilzbrühepaste,
Fusilli,Haltbares
"Paprika, edelsüß",Gewürze
Backpulver,Haltbares
Sauerkraut,Haltbares
Dino Nuggets,
"Champignons und Porree, geschnitten",Gemüse
gelbe Karotte-Spaghetti,Gemüse
Schellfischfilet,
Schwarzer Heilbutt,Fleisch
Sojasprossen,
Wasabi-Paste,
eingelegter Ingwer,
"Weißer Reis, vorgekocht",
Bao Buns,Haltbares
Vollkornreis,Haltbares
Mediterraner Mix,Gemüse
Focaccia (Tomate),Haltbares
körniger Frischkäse,
"Gewürzmischung ""Gulaschgewürz""",Gewürze
Würziges Zwiebel-Chutney,
Wirsing (geschnitten),
Bimi Brokkoli,
geschälte Kirschtomate,
Rigatoni vorgekocht,
Bandnudeln,
Gnocchi in Sternform,
Muskatnuss,
Laugenbrötchen,Brot
Leberkäse,
Pilz-Käse-Patty mit Pinienkernen,Haltbares
Knusperstäbchen nach Fisch Art,
Laugenstange,Brot
Burger Sauce,
Haferflocken,Haltbares
Ananas,Obst
Welsfilet,
Puy Linsen,
"Reis, gedämpft",
Schaschlikspieße,
"Kräutermix ""Grüne Soße""",Gewürze
Räucherlachs,
Striploin Steak,
Nürnberger Bratwürstchen,Fleisch
Umami,
Spaten,
Mini-Suppenmaultaschen,
kräftige Rotweinpaste,
Sonntagsknödel,Haltbares
Kräftige Gemüsebrühe,
getrocknete Pflaumen,Haltbares
Vollkornspaghetti,
"Koriander, gemahlen",
Rindsbratwurst,Fleisch
Salat,
Preiselbeeren,
Topinambur,Gemüse
Western Dressing,
Petersilienwurzeln,
"Gewürzmischung ""Kartoffelknaller""",
Himbeer-Balsamico-Dressing,
Kardamomkapseln,
"Kreuzkümmel, ganz",
Dijon-Senf,Haltbares
lila Kohlrabi,
Reisnudeln,
Frische Tagliatelle,
passierte Tomaten,
"Mandelstifte, blanchiert",
Filetstücke,
Burrata,Milchprodukte
Salz,
vorgekochte Kartoffelecken mit Schale,
Geräucherte Hähnchenbrust in Scheiben,
Grillkäse in Gewürzmarinade,Milchprodukte
Hirschsteak,Fleisch
Apfel-Brandy-Chutney,
Rinderfilet,Fleisch
vorgegarte Rote Beete,Gemüse
"Karotte, Kohl und Spinat",
Mozzarella-Bällchen,
Pfefferkörner,
Tomaten-Salsa-Soße,
Knoblauch-Kräuter Mix,
Korianderkörner,
Tortellini mit Ricottafüllung,Haltbares
Büffelmozzarella (vegetarisch),
Hähnchenunterschenkel in Paprikamarinade,Fleisch
Brötchenkarree Kräuter,Brot
Sushireis,
Rettich,
Mini-Baguettes,
Mais-Tortillas,
"Gewürzmischung ""Tofu""",
"Gewürzmischung ""Tofu-Wrap""",
Frühlingszwiebeln,
Radiesschensprossen,
Kalamata-Oliven mit Stein,
"Gewürzmischung ""Marokkanischer Rindfleischburger""",Gewürze
Vollkorntoast,
Truthahn-Bacon,
Magerquark,
Eier,
5-Gewürzpulver,
Chimichurri,
Italienische Kräutermischung,
Maxi Tortelli Ricotta Spinat,Haltbares
Mini-Maultaschen mit Fleisch,
"Fusilli, vorgekocht",
Tomatenpassata,
Briochebrötchen,
"Gewürzmischung ""Kumin & Koriander""",Gewürze
weiße Schokoladendrops,
Sesam-Burgerbrötchen,Brot
Perlhuhn Brustfilet,Fleisch
"Gewürzmischung ""Bratapfelgewürz""",
Zuckerschoten,
Edamame-Nudeln,
Ciabatta-Brötchen,
geräuchertes Forellenfilet,
Chiogga Beete,
Dressing,
"Champignons und Lauch, geschnitten",
Geräucherte Kartoffeln,
Hartweizengrieß,
Tilapia-Filet,
Majoran,Gewürze
weiße Bohnen,
"Gewürzmischung ""Indische Reispfanne""",
gelbe Linsen,
Wildkräutersalat,
Rinderkeulenstreifen,
Fiorelli mit Pilzfüllung,Haltbares
Béchamelsoße,
Kubeben-Pfeffer,
Cujan-Gewürzmischung,
Wasabi-Erdnüsse,
Reispapier-Blätter,
Drelli-Pasta,
Bischhofsmützen-(Kürbis-)Antipasti,
Garam Masala,
Vollmilchschokolade Karamell Meersalz,
Pommes Frites,
Kartoffelteig,
Knollensellerie,
Hüftsteak vom Weiderind,
Grillhaxe,
"Wirsing, geschnitten",
Herzgnocchi mit Rote Beete & Tomate,
Steak,
Puderzucker,
Schokolade 60%,
Mie-Nudeln,
Kokos Curry,
Wontansoße,
Karotten-breite Bohnen-Mix,
Champignon-Buchenpilze-Mix,
180 g Striploin-Steak pro Person,
Romanesco,
Filetstücken Hähnchen-Art Kräuter-Zitrone,
Hähnchenfilets,Fleisch
Provence,
Paniermehl,
gemahlene Mandeln,
Spareribs,
Meerrettich,
geraspelter Bergjausenkäse,
Cornflakes,
Quark,
weiße,
 braune Bohnen,
Speckwürfel,
Zucker,
Spekulatius-Kekse,
"Gewürmischung ""Gyros""",
Rote Beete Würfel,
Polenta,Haltbares
geraspelter Bergkäse,
"Gewürzmischung ""HelloMole""",
"Rinderbrühe, klar",
geriebener Mozzarella,
Mehrkornbrötchen,
Gemüse-Maultaschen,
Filet nach Lachs-Art,
Marokko-Tajine-Pulver,
Panang-Currypaste,
Vollkorn-Tortillas,
Mascarpone,Milchprodukte
Serranoschinken,
Safran,
"Grillido-Grillwurst ""Chorizo""",
"Gewürzmischung ""Paprikapulver",
"Kurkuma""",
Risotto-Reis,
Chilipulver,
Sambal Oelek,
"Paprikapulver, scharf",
schwarze Oliven,
Karotten,
Chicorée,Gemüse
"Gewürzmischung ""Zatar""",Gewürze
Ziegenfrischkäse-Crumble,Milchprodukte
Curry,
Röstzwiebeln,
"Gewürzmischung ""Hähncheneintopf""",Gewürze
Bratwurst,
Tomaten mit Basilikum,
Rinderbraten,Fleisch
"Gewürzmischung ""Rotkohl""",
Rhabarber,
Gorgonzola,Milchprodukte
Piment d'Espelette,Gewürze
Sous-vide-Rindersteak,
Striploin-Steak,
Hartkäse ital. Art – DONT USE,
Salsa Verde,
Lauch,
Pulled Lachs,
"Gewürzmischung ""Indian Allrounder""",
Jackfruit,
Hähnchenunterschenkel,
"Gewürzmischung ""Falafel""",
"Gewürzmischung ""Pita-Brot""",
"Gewürzmischung ""Turkish Allrounder""",
Fusilli-Pasta,Haltbares
Datteltomaten,
Manti,
Sonnenweizen,
Zuckerrübensirup,
"Salatmischung ""Oriental""",
Harissa-Paste,
Knoblauch Dressing,
Filetstreifen,
Mayonnaise mit schwarzem Sesam,
Rote Beete Gnocchi,Haltbares
"Gewürzmischung ""Shakshuka""",
Mangold,
Maniok,
Geflügelwürste,
"Paprika, eingelegt",
Kefir,
getrocknete Pilze,
Zimtstange,
Kurkuma-Wurzel,
getrocknete Feigen,
Sahnekefir,
Kichererbsen Pasta,Haltbares
Cervelat Bratwurst,
Schweinelachs am Stück,Fleisch
Buntbarsch Filet,
Rindergeschnetzeltes in Kräutermarinade,Fleisch
Gigli,Haltbares
Tabasco Sauce,
Mini-Spekulatius,
Bratapfelgewürz,
Räucherlachs in Scheiben,
Karotten Buns,
"Gewürzmischung ""Mediterraneo""",
Frikadelle,
"Karotte, Kohlrabi und Lauch",
